Account,Frequency
@SquadBrasilLM,100
@Cory_1077,90
@ShawnMendes,80
@Variety,60
@latimes,50
@chicagosglobal,50
@billboard,50
@ronlin,50
@lanow,50
@selenagomez,40
@ChiSisterCities,30
@ConsulMexCho,30
@ChicagoRedCross,30
@AFPMexico,20
@arichooseslove,20
@Seeker,20
@KUOW,20
@LanceWymanNews,20
@AaronCarpenter,10
@ABC,10
@AnimalsBelize,10
@GlassfordJohn,10
@nytimes,10
@Donnella_P,10
@AP,10
@TheJBCrewdotcom,10
@AFP,10
@NiallOfficial,10
@j617rsox,10
@ETCanada,10
@editorialtnt,10
@FiebreDeMalta,10
@TheWholeWorldOr,10
@UBC,10
@IOEAOfficial,10
@justjaredjr,10
@Noeliasixxx,10
@NYDailyNews,10
@tw_hsm,10
@MPAVictoria,10
@realDonaldTrump,10
@lorde,10
@HoneyWest25,10
@ryanliestman,10
@Tinashe,10
@Reuters,10
@boozychef,10
@annuaImendes,10
@garanceburke,10
@deray,10
@lust_mvmt,10
